Designator,Footprint,Quantity,Value,LCSC Part #
C101,CP_Radial_D6.3mm_P2.50mm,1,100uF 10V,
C401,1206,1,100nF,
C402,1206,1,100pF,
C403,1206,1,1nF,
C404,CP_Radial_D10.0mm_P5.00mm,1,10uF 400V (4.7uF 250V),
D401,D_DO-41_SOD81_P7.62mm_Horizontal,1,UF4007,
L401,L_APV_APH1030,1,100uH,
NX101,nixies-us-IN-12-DSUB,1,~,
Q401,TO-220-3_Vertical,1,IRF740,
R101,2512,1,10K,
R401,1206,1,150K,
R402,1206,1,47K,
R403,1206,1,10R,
R404,1206,1,0.5R,
R405,1206,1,680K,
R406,1206,1,10K,
TP101,TestPoint_Pad_3.0x3.0mm,1,D,
TP102,TestPoint_Pad_3.0x3.0mm,1,5V,
TP103,TestPoint_Pad_3.0x3.0mm,1,C,
TP104,TestPoint_Pad_3.0x3.0mm,1,GND,
TP105,TestPoint_Pad_3.0x3.0mm,1,B,
TP106,TestPoint_Pad_3.0x3.0mm,1,A,
TP107,TestPoint_Pad_3.0x3.0mm,1,12V,
TP108,TestPoint_Pad_3.0x3.0mm,1,170V,
U101,SOT-223-3_TabPin2,1,AMS1117-5,
U102,DIP-16_W7.62mm,1,К155ИД1,
U401,SOIC-8_3.9x4.9mm_P1.27mm,1,UC3843_SOIC8,
